animal, ,"('shall we try one more peculiar game with this animal whatever he be', 'Investigator')","[0, 'shall we try one more peculiar game with this animal whatever he be']",game,61.1983818969589,female,Brown
food, ,"('he pack his teddy bear and find some food for the journey and take off up the chimney', 'Mother')","[0, 'he pack his teddy bear and find some food for the journey and take off up the chimney']",bear,64.2641532680342,female,HSLLD
food, ,"('he pack his teddy bear and some food for the journey and take off up the chimney', 'Mother')","[0, 'he pack his teddy bear and some food for the journey and take off up the chimney']",bear,62.8883549970225,female,HSLLD
food, ,"('he pack his teddy bear and some food for the journey and take off up the chimney', 'Mother')","[0, 'he pack his teddy bear and some food for the journey and take off up the chimney']",bear,60.5597650875788,female,HSLLD
food, ,"('he pack his teddy bear and some food for the journey and take off up the chimney', 'Mother')","[0, 'he pack his teddy bear and some food for the journey and take off up the chimney']",bear,61.5269307377975,female,HSLLD
food, ,"('he pack his teddy bear and some food for the journey and take off in the chimney', 'Mother')","[0, 'he pack his teddy bear and some food for the journey and take off in the chimney']",bear,61.0669623606234,female,HSLLD
food, ,"('he pack his teddy bear and some food for the journey and take off up the chimney', 'Mother')","[0, 'he pack his teddy bear and some food for the journey and take off up the chimney']",bear,61.4283660855459,female,HSLLD
food, ,"('he pack his teddy bear and some food for the journey and take off up in the chimney', 'Mother')","[0, 'he pack his teddy bear and some food for the journey and take off up in the chimney']",bear,61.165527012875,female,HSLLD
food, ,"('he pack his teddy bear and some food for the journey', 'Mother')","[0, 'he pack his teddy bear and some food for the journey']",bear,69.03427175096,female,HSLLD
food, ,"('he pack his teddy bear and some food for the journey take off up the chimney', 'Mother')","[0, 'he pack his teddy bear and some food for the journey take off up the chimney']",bear,60.2312162467402,female,HSLLD
food, ,"('he pack his teddy bear and some food for the journey and take off up the chimney', 'Mother')","[0, 'he pack his teddy bear and some food for the journey and take off up the chimney']",bear,60.5269102034949,female,HSLLD
food, ,"('he pack his teddy bear and some food for the journey and take off the chimney', 'Mother')","[0, 'he pack his teddy bear and some food for the journey and take off the chimney']",bear,62.0012731267582,female,HSLLD
clothes, ,"('some mouse live in Cinderella room they be Cinderella friend she have even make little clothes for them', 'Mother')","[0, 'some mouse live in Cinderella room they be Cinderella friend she have even make little clothes for them']",mouse,62.0012731267582,female,HSLLD
food, ,"('he pack his teddy bear and some food for the journey and take off up the chimney', 'Mother')","[0, 'he pack his teddy bear and some food for the journey and take off up the chimney']",bear,68.2313805211606,female,HSLLD
clothes, ,"('I put my doll clothes in', 'Mother')","[0, 'I put my doll clothes in']",doll,68.2313805211606,female,HSLLD
clothes, ,"('I hang up doll clothes', 'Mother')","[0, 'I hang up doll clothes']",doll,68.2313805211606,female,HSLLD
toy, ,"('soon it be time to put away our toy and book and clothes and get ready for bed', 'Mother')","[0, 'soon it be time to put away our toy and book and clothes and get ready for bed']",bed,68.2313805211606,female,HSLLD
clothes, ,"('soon it be time to put away our toy and book and clothes and get ready for bed', 'Mother')","[0, 'soon it be time to put away our toy and book and clothes and get ready for bed']",bed,68.2313805211606,female,HSLLD
toy, ,"('soon it be time to put away our toy and book and clothes and get ready for bed', 'Mother')","[0, 'soon it be time to put away our toy and book and clothes and get ready for bed']",book,68.2313805211606,female,HSLLD
clothes, ,"('soon it be time to put away our toy and book and clothes and get ready for bed', 'Mother')","[0, 'soon it be time to put away our toy and book and clothes and get ready for bed']",book,68.2313805211606,female,HSLLD
toy, ,"('if you can tell the story good you can play toy', 'Mother')","[0, 'if you can tell the story good you can play toy']",story,61.0669623606234,female,HSLLD
food, ,"('you do seem to eat all your food when you watch tv how about if you eat before then we turn it on', 'Mother')","[0, 'you do seem to eat all your food when you watch tv how about if you eat before then we turn it on']",tv,68.2313805211606,female,HSLLD
food, ,"('well see mother just probable ask her what else will she like them to have and they figure they have enough potato chip and candy and cheese puff and junk food like that so she probable ask the teach in order to get the party hat', 'Mother')","[0, 'well see mother just probable ask her what else will she like them to have and they figure they have enough potato chip and candy and cheese puff and junk food like that so she probable ask the teach in order to get the party hat']",hat,68.2313805211606,female,HSLLD
food, ,"('well see mother just probable ask her what else will she like them to have and they figure they have enough potato chip and candy and cheese puff and junk food like that so she probable ask the teach in order to get the party hat', 'Mother')","[0, 'well see mother just probable ask her what else will she like them to have and they figure they have enough potato chip and candy and cheese puff and junk food like that so she probable ask the teach in order to get the party hat']",candy,68.2313805211606,female,HSLLD
food, ,"('well see mother just probable ask her what else will she like them to have and they figure they have enough potato chip and candy and cheese puff and junk food like that so she probable ask the teach in order to get the party hat', 'Mother')","[0, 'well see mother just probable ask her what else will she like them to have and they figure they have enough potato chip and candy and cheese puff and junk food like that so she probable ask the teach in order to get the party hat']",cheese,68.2313805211606,female,HSLLD
food, ,"('well see mother just probable ask her what else will she like them to have and they figure they have enough potato chip and candy and cheese puff and junk food like that so she probable ask the teach in order to get the party hat', 'Mother')","[0, 'well see mother just probable ask her what else will she like them to have and they figure they have enough potato chip and candy and cheese puff and junk food like that so she probable ask the teach in order to get the party hat']",potato,68.2313805211606,female,HSLLD
toy, ,"('so you can get in there and pick up all them toy and all those different blanket every teddy bear doll etcetera etcetera etcetera', 'Mother')","[0, 'so you can get in there and pick up all them toy and all those different blanket every teddy bear doll etcetera etcetera etcetera']",bear,68.2313805211606,female,HSLLD
toy, ,"('so you can get in there and pick up all them toy and all those different blanket every teddy bear doll etcetera etcetera etcetera', 'Mother')","[0, 'so you can get in there and pick up all them toy and all those different blanket every teddy bear doll etcetera etcetera etcetera']",doll,68.2313805211606,female,HSLLD
food, ,"('he pack his teddy bear and some food for the journey and take off up the chimney', 'Mother')","[0, 'he pack his teddy bear and some food for the journey and take off up the chimney']",bear,66.7570175978973,female,HSLLD
animal, ,"('elephant be the large land animal', 'Mother')","[0, 'elephant be the large land animal']",elephant,67.6584734799483,female,HSLLD
food, ,"('he pack his teddy bear and some food for the journey and take off up the chimney', 'Mother')","[0, 'he pack his teddy bear and some food for the journey and take off up the chimney']",bear,70.6913899669398,female,HSLLD
animal, ,"('elephant be the large land animal', 'Mother')","[0, 'elephant be the large land animal']",elephant,66.7570175978973,female,HSLLD
food, ,"('he pack his teddy bear and some food for the journey and take off up the chimney', 'Mother')","[0, 'he pack his teddy bear and some food for the journey and take off up the chimney']",bear,67.5270539436128,female,HSLLD
food, ,"('he pack his teddy bear and some food for the journey and take off up the chimney', 'Mother')","[0, 'he pack his teddy bear and some food for the journey and take off up the chimney']",bear,65.5598677590916,female,HSLLD
food, ,"('he pack his teddy bear and some food for the journey and take off up the chimney', 'Grandmother')","[0, 'he pack his teddy bear and some food for the journey and take off up the chimney']",bear,64.8555411815438,female,HSLLD
animal, ,"('elephant be the large land animal', 'Mother')","[0, 'elephant be the large land animal']",elephant,70.6913899669398,female,HSLLD
animal, ,"('elephant be the large land animal', 'Mother')","[0, 'elephant be the large land animal']",elephant,67.5270539436128,female,HSLLD
animal, ,"('elephant be the large land animal', 'Mother')","[0, 'elephant be the large land animal']",elephant,70.6913899669398,female,HSLLD
animal, ,"('elephant be the large land animal', 'Mother')","[0, 'elephant be the large land animal']",elephant,65.5598677590916,female,HSLLD
food, ,"('he pack his teddy bear and some food for the journey and take off up the chimney', 'Mother')","[0, 'he pack his teddy bear and some food for the journey and take off up the chimney']",bear,68.8227684346701,female,HSLLD
animal, ,"('then other thirst animal come and drink the water too', 'Mother')","[0, 'then other thirst animal come and drink the water too']",drink,67.6584734799483,female,HSLLD
animal, ,"('then other thirst animal come and drink the water too', 'Mother')","[0, 'then other thirst animal come and drink the water too']",water,67.6584734799483,female,HSLLD
animal, ,"('the other thirst animal come and drink the water too', 'Mother')","[0, 'the other thirst animal come and drink the water too']",drink,66.7570175978973,female,HSLLD
animal, ,"('the other thirst animal come and drink the water too', 'Mother')","[0, 'the other thirst animal come and drink the water too']",water,66.7570175978973,female,HSLLD
animal, ,"('elephant be the large land animal', 'Grandmother')","[0, 'elephant be the large land animal']",elephant,64.8555411815438,female,HSLLD
food, ,"('he pack his teddy bear and some food for his journey and take off up the chimney', 'Mother')","[0, 'he pack his teddy bear and some food for his journey and take off up the chimney']",bear,66.3627589888909,female,HSLLD
animal, ,"('most of the time elephant be peace animal', 'Mother')","[0, 'most of the time elephant be peace animal']",elephant,67.6584734799483,female,HSLLD
food, ,"('all the food except cake', 'Mother')","[0, 'all the food except cake']",cake,64.4612825725374,female,HSLLD
animal, ,"('most of the time elephant be peace animal', 'Mother')","[0, 'most of the time elephant be peace animal']",elephant,66.7570175978973,female,HSLLD
